id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
1,3150,3,1,2,no,no,no,no,no,0,no,unfurnished
2,4040,2,1,2,yes,no,no,no,no,1,no,semi-furnished
3,4500,4,2,2,yes,no,yes,no,no,2,no,furnished
4,5400,4,1,2,yes,no,no,no,no,0,no,unfurnished
5,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
6,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
7,7700,2,1,1,yes,no,no,no,no,0,no,unfurnished
8,3600,3,1,2,no,no,no,no,no,1,no,unfurnished
9,2800,3,2,2,no,no,yes,no,yes,1,no,semi-furnished
10,3720,2,1,1,no,no,no,no,yes,0,no,unfurnished
11,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
12,3635,2,1,1,no,no,no,no,no,0,no,unfurnished
13,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
14,4240,3,1,2,yes,no,no,no,yes,0,no,semi-furnished
15,6862,3,1,2,yes,no,no,no,yes,2,yes,furnished
16,2640,2,1,1,no,no,no,no,no,1,no,furnished
17,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
18,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
19,4510,4,2,2,yes,no,yes,no,no,0,no,semi-furnished
20,6450,4,1,2,yes,no,no,no,no,0,no,semi-furnished
21,3630,2,1,1,yes,no,no,no,no,0,no,unfurnished
22,2910,2,1,1,no,no,no,no,no,0,no,unfurnished
23,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
24,6440,2,1,1,yes,no,no,no,yes,3,no,semi-furnished
25,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
26,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
27,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
28,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
29,4000,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
30,3970,3,1,2,yes,no,yes,no,no,0,no,unfurnished
31,2145,3,1,2,yes,no,yes,no,no,0,yes,furnished
32,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
33,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
34,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
35,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
36,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
37,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
38,2700,2,1,1,no,no,no,no,no,0,no,furnished
39,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
40,4600,2,2,1,yes,no,no,no,yes,2,no,semi-furnished
